-40.000000 47.939626  -40.000000 46.200395  -40.000000 46.117076  -40.000000 47.176349 
-39.900000 48.022481  -39.900000 48.241507  -39.900000 46.749273  -39.900000 46.907579 
-39.800000 48.372803  -39.800000 49.619733  -39.800000 49.480749  -39.800000 47.043319 
-39.700000 49.010336  -39.700000 45.920310  -39.700000 47.086984  -39.700000 47.309679 
-39.600000 48.199910  -39.600000 47.388694  -39.600000 47.675141  -39.600000 47.361205 
-39.500000 48.614820  -39.500000 48.440600  -39.500000 47.768176  -39.500000 47.062182 
-39.400000 48.595757  -39.400000 49.385422  -39.400000 49.798830  -39.400000 47.547140 
-39.300000 49.611827  -39.300000 49.846532  -39.300000 46.742826  -39.300000 47.478006 
-39.200000 50.135784  -39.200000 50.222744  -39.200000 46.940494  -39.200000 48.112732 
-39.100000 47.776774  -39.100000 45.483664  -39.100000 46.447841  -39.100000 47.809454 
-39.000000 48.481327  -39.000000 45.768184  -39.000000 47.700506  -39.000000 47.918903 
-38.900000 48.916811  -38.900000 45.966060  -38.900000 47.139438  -38.900000 47.990517 
-38.800000 49.926533  -38.800000 50.665203  -38.800000 46.307377  -38.800000 48.545916 
-38.700000 50.096843  -38.700000 50.594359  -38.700000 50.041877  -38.700000 47.907283 
-38.600000 49.983876  -38.600000 50.209787  -38.600000 48.841838  -38.600000 48.388884 
-38.500000 49.689389  -38.500000 49.931042  -38.500000 49.641899  -38.500000 48.395591 
-38.400000 49.935961  -38.400000 48.525454  -38.400000 47.823502  -38.400000 48.548940 
-38.300000 49.310094  -38.300000 47.361363  -38.300000 50.752585  -38.300000 48.396317 
-38.200000 51.025633  -38.200000 51.346502  -38.200000 49.510017  -38.200000 48.479849 
-38.100000 50.210825  -38.100000 50.070811  -38.100000 47.152346  -38.100000 48.808680 
-38.000000 49.826144  -38.000000 48.100364  -38.000000 49.646000  -38.000000 49.097141 
-37.900000 50.814254  -37.900000 51.751320  -37.900000 47.133305  -37.900000 48.938245 
-37.800000 49.212674  -37.800000 49.798387  -37.800000 49.647182  -37.800000 49.170750 
-37.700000 49.987683  -37.700000 47.391927  -37.700000 51.579326  -37.700000 49.294590 
-37.600000 50.408984  -37.600000 50.261894  -37.600000 48.384737  -37.600000 49.217684 
-37.500000 49.160289  -37.500000 47.313984  -37.500000 50.364152  -37.500000 49.470412 
-37.400000 51.034481  -37.400000 49.555430  -37.400000 49.454775  -37.400000 49.512176 
