-40.000000 41.487930  -40.000000 41.393262  -40.000000 41.177021  -40.000000 41.363659 
-39.900000 42.197979  -39.900000 42.052448  -39.900000 42.231856  -39.900000 42.186022 
-39.800000 43.478937  -39.800000 42.805050  -39.800000 43.084053  -39.800000 42.956622 
-39.700000 41.538486  -39.700000 41.032005  -39.700000 41.062547  -39.700000 41.234339 
-39.600000 41.703911  -39.600000 41.788450  -39.600000 41.997731  -39.600000 41.988458 
-39.500000 41.969289  -39.500000 42.347879  -39.500000 42.498764  -39.500000 42.566734 
-39.400000 42.374571  -39.400000 42.733388  -39.400000 42.975622  -39.400000 42.904793 
-39.300000 43.169407  -39.300000 43.259582  -39.300000 43.362259  -39.300000 43.328129 
-39.200000 44.162924  -39.200000 43.880934  -39.200000 43.734706  -39.200000 43.535075 
-39.100000 41.158814  -39.100000 41.439165  -39.100000 41.279617  -39.100000 41.419171 
-39.000000 42.586160  -39.000000 41.304226  -39.000000 41.464827  -39.000000 41.697098 
-38.900000 41.980051  -38.900000 41.991048  -38.900000 41.611199  -38.900000 41.689477 
-38.800000 43.706047  -38.800000 43.741959  -38.800000 43.880141  -38.800000 44.038826 
-38.700000 43.444700  -38.700000 43.965652  -38.700000 44.079701  -38.700000 44.111456 
-38.600000 44.062015  -38.600000 43.724809  -38.600000 43.737459  -38.600000 43.988619 
-38.500000 44.184998  -38.500000 43.555991  -38.500000 43.562997  -38.500000 43.677978 
-38.400000 43.806142  -38.400000 43.175326  -38.400000 43.136457  -38.400000 43.297733 
-38.300000 43.950683  -38.300000 42.517576  -38.300000 42.780885  -38.300000 42.787879 
-38.200000 44.924639  -38.200000 44.503434  -38.200000 44.359646  -38.200000 44.620602 
-38.100000 44.551571  -38.100000 43.957544  -38.100000 43.815906  -38.100000 44.132273 
-38.000000 43.670873  -38.000000 43.544955  -38.000000 43.397512  -38.000000 43.402625 
-37.900000 44.748045  -37.900000 44.892924  -37.900000 44.874776  -37.900000 44.907414 
-37.800000 43.869863  -37.800000 43.828720  -37.800000 44.012540  -37.800000 44.134056 
-37.700000 42.524155  -37.700000 42.966316  -37.700000 42.843453  -37.700000 42.967083 
-37.600000 44.655632  -37.600000 44.214716  -37.600000 44.422940  -37.600000 44.405713 
-37.500000 43.067326  -37.500000 43.024759  -37.500000 43.172907  -37.500000 43.122846 
-37.400000 44.026163  -37.400000 44.287211  -37.400000 44.280905  -37.400000 44.295542 
-37.300000 45.355589  -37.300000 44.967125  -37.300000 45.139456  -37.300000 45.267635 
-37.200000 44.306670  -37.200000 43.746602  -37.200000 43.656223  -37.200000 43.761494 
-37.100000 45.644143  -37.100000 44.490878  -37.100000 44.659028  -37.100000 44.711531 
-37.000000 45.031445  -37.000000 45.185612  -37.000000 45.199331  -37.000000 45.448709 
-36.900000 45.861918  -36.900000 45.811675  -36.900000 45.910521  -36.900000 45.898411 
-36.800000 43.861429  -36.800000 43.689797  -36.800000 44.001196  -36.800000 43.999979 
-36.700000 44.283297  -36.700000 43.966355  -36.700000 44.349700  -36.700000 44.389729 
-36.600000 44.506468  -36.600000 44.502757  -36.600000 44.632091  -36.600000 44.733193 
-36.500000 44.565805  -36.500000 44.992113  -36.500000 44.814525  -36.500000 44.878107 
-36.400000 44.991963  -36.400000 44.922603  -36.400000 44.976407  -36.400000 44.920217 
-36.300000 45.210446  -36.300000 45.040772  -36.300000 44.798537  -36.300000 44.795466 
-36.200000 44.494225  -36.200000 44.728090  -36.200000 44.877669  -36.200000 44.667976 
-36.100000 46.224240  -36.100000 46.911476  -36.100000 46.770701  -36.100000 46.780150 
-36.000000 46.050368  -36.000000 46.745374  -36.000000 46.456113  -36.000000 46.463002 
-35.900000 45.337574  -35.900000 45.692118  -35.900000 45.883031  -35.900000 46.016875 
-35.800000 44.535432  -35.800000 45.565414  -35.800000 45.303825  -35.800000 45.350220 
-35.700000 47.166356  -35.700000 47.342659  -35.700000 46.821751  -35.700000 47.102717 
-35.600000 46.188524  -35.600000 46.062885  -35.600000 46.202714  -35.600000 46.205411 
-35.500000 45.556922  -35.500000 44.822087  -35.500000 45.145548  -35.500000 45.065277 
-35.400000 46.797572  -35.400000 46.605654  -35.400000 46.510038  -35.400000 46.422754 
-35.300000 47.907296  -35.300000 47.506572  -35.300000 47.609177  -35.300000 47.579239 
-35.200000 45.995643  -35.200000 46.181105  -35.200000 46.196783  -35.200000 46.163484 
-35.100000 47.217732  -35.100000 47.028211  -35.100000 47.216285  -35.100000 47.217861 
-35.000000 47.759862  -35.000000 47.791767  -35.000000 47.857156  -35.000000 47.810085 
-34.900000 45.671301  -34.900000 45.949908  -34.900000 46.040013  -34.900000 46.176942 
-34.800000 46.625464  -34.800000 46.804410  -34.800000 46.593908  -34.800000 46.694051 
-34.700000 47.449903  -34.700000 46.841359  -34.700000 47.142921  -34.700000 47.105319 
-34.600000 47.648664  -34.600000 47.110923  -34.600000 47.185211  -34.600000 47.391446 
-34.500000 46.830082  -34.500000 47.343331  -34.500000 47.300405  -34.500000 47.514522 
-34.400000 47.938839  -34.400000 47.331159  -34.400000 47.479148  -34.400000 47.535240 
-34.300000 48.287646  -34.300000 47.332454  -34.300000 47.225266  -34.300000 47.189761 
-34.200000 47.117545  -34.200000 47.037994  -34.200000 46.808080  -34.200000 47.002470 
-34.100000 48.896572  -34.100000 48.385245  -34.100000 48.794498  -34.100000 48.768753 
-34.000000 49.271272  -34.000000 47.885623  -34.000000 48.239446  -34.000000 48.274027 
-33.900000 47.879983  -33.900000 47.480120  -33.900000 47.669965  -33.900000 47.596747 
-33.800000 48.902988  -33.800000 48.553053  -33.800000 48.911253  -33.800000 49.111738 
-33.700000 48.145855  -33.700000 47.823259  -33.700000 47.968324  -33.700000 48.009960 
-33.600000 48.972150  -33.600000 48.666970  -33.600000 49.009546  -33.600000 49.225191 
-33.500000 47.545447  -33.500000 47.642253  -33.500000 47.868289  -33.500000 47.897772 
-33.400000 49.259667  -33.400000 48.684984  -33.400000 48.795576  -33.400000 48.625693 
-33.300000 50.400803  -33.300000 49.276403  -33.300000 49.405473  -33.300000 49.388209 
-33.200000 47.818106  -33.200000 47.502900  -33.200000 47.484575  -33.200000 47.586133 
-33.100000 48.139827  -33.100000 47.647282  -33.100000 47.823150  -33.100000 48.031553 
-33.000000 48.829307  -33.000000 48.321683  -33.000000 48.271034  -33.000000 48.267178 
-32.900000 48.305019  -32.900000 48.648167  -32.900000 48.388364  -32.900000 48.324899 
-32.800000 48.235927  -32.800000 48.178348  -32.800000 48.349415  -32.800000 48.339660 
-32.700000 47.879734  -32.700000 48.049944  -32.700000 47.965291  -32.700000 47.931920 
-32.600000 50.642287  -32.600000 50.012760  -32.600000 49.891821  -32.600000 49.977441 
-32.500000 49.681880  -32.500000 49.364055  -32.500000 49.573147  -32.500000 49.487603 
-32.400000 48.630615  -32.400000 48.265092  -32.400000 48.667507  -32.400000 48.664788 
-32.300000 49.917736  -32.300000 49.810165  -32.300000 49.890256  -32.300000 50.114953 
-32.200000 49.502804  -32.200000 48.982468  -32.200000 48.944091  -32.200000 48.980844 
-32.100000 50.187500  -32.100000 49.706821  -32.100000 50.084292  -32.100000 50.157853 
-32.000000 48.070162  -32.000000 48.511689  -32.000000 48.591466  -32.000000 48.413601 
-31.900000 48.848705  -31.900000 49.388066  -31.900000 49.393707  -31.900000 49.280889 
-31.800000 49.285173  -31.800000 50.248348  -31.800000 49.847496  -31.800000 49.844006 
-31.700000 50.634007  -31.700000 50.140635  -31.700000 50.103111  -31.700000 50.158725 
-31.600000 50.434592  -31.600000 50.329288  -31.600000 50.311460  -31.600000 50.343830 
-31.500000 51.129574  -31.500000 49.976571  -31.500000 50.282624  -31.500000 50.353283 
-31.400000 50.427127  -31.400000 49.976547  -31.400000 49.866424  -31.400000 50.113132 
-31.300000 49.458713  -31.300000 49.821789  -31.300000 49.677268  -31.300000 49.575948 
-31.200000 51.565341  -31.200000 51.646747  -31.200000 51.300587  -31.200000 51.396219 
-31.100000 50.206560  -31.100000 50.938381  -31.100000 50.733473  -31.100000 50.598705 
-31.000000 52.082417  -31.000000 51.223285  -31.000000 51.851630  -31.000000 51.849007 
-30.900000 50.512687  -30.900000 50.777094  -30.900000 50.865827  -30.900000 50.741991 
-30.800000 51.636560  -30.800000 51.589351  -30.800000 51.512993  -30.800000 51.659638 
-30.700000 49.516690  -30.700000 50.121190  -30.700000 49.729489  -30.700000 49.865316 
-30.600000 50.275987  -30.600000 50.825759  -30.600000 50.316197  -30.600000 50.375112 
-30.500000 51.184511  -30.500000 50.739506  -30.500000 50.770562  -30.500000 50.767447 
-30.400000 50.349905  -30.400000 50.522499  -30.400000 50.835473  -30.400000 50.814713 
-30.300000 51.387469  -30.300000 50.708438  -30.300000 50.635355  -30.300000 50.625406 
-30.200000 52.778549  -30.200000 52.676997  -30.200000 52.497244  -30.200000 52.711919 
-30.100000 52.398247  -30.100000 51.894072  -30.100000 52.065122  -30.100000 52.143516 
-30.000000 51.713785  -30.000000 50.968115  -30.000000 51.211303  -30.000000 51.322815 
-29.900000 52.641645  -29.900000 52.669951  -29.900000 52.606303  -29.900000 52.672893 
-29.800000 51.786204  -29.800000 51.057632  -29.800000 51.552613  -29.800000 51.409789 
-29.700000 52.414199  -29.700000 51.872196  -29.700000 52.329853  -29.700000 52.217663 
-29.600000 53.530354  -29.600000 53.237555  -29.600000 52.800523  -29.600000 52.843714 
-29.500000 53.592729  -29.500000 53.048773  -29.500000 53.144458  -29.500000 53.142556 
-29.400000 53.369517  -29.400000 53.208471  -29.400000 53.278855  -29.400000 53.404639 
-29.300000 53.622053  -29.300000 53.316499  -29.300000 53.093643  -29.300000 53.234658 
-29.200000 53.406436  -29.200000 53.116337  -29.200000 52.816313  -29.200000 52.899556 
-29.100000 52.712581  -29.100000 52.703659  -29.100000 52.264084  -29.100000 52.216512 
-29.000000 54.075852  -29.000000 53.380892  -29.000000 53.733150  -29.000000 53.681646 
-28.900000 52.930698  -28.900000 52.568066  -28.900000 52.738373  -28.900000 52.592567 
-28.800000 53.737837  -28.800000 53.229829  -28.800000 53.493374  -28.800000 53.486157 
-28.700000 52.191399  -28.700000 51.737386  -28.700000 51.624503  -28.700000 51.788794 
-28.600000 52.524434  -28.600000 52.160528  -28.600000 52.230641  -28.600000 52.236959 
-28.500000 52.328194  -28.500000 52.729314  -28.500000 52.438928  -28.500000 52.442889 
-28.400000 51.583494  -28.400000 52.159999  -28.400000 52.279800  -28.400000 52.350013 
-28.300000 54.912284  -28.300000 54.350640  -28.300000 54.247244  -28.300000 54.464845 
-28.200000 53.892561  -28.200000 53.501268  -28.200000 53.879016  -28.200000 53.816502 
-28.100000 52.709086  -28.100000 52.517628  -28.100000 52.772085  -28.100000 52.707092 
-28.000000 54.636426  -28.000000 54.115435  -28.000000 54.090756  -28.000000 53.996854 
-27.900000 55.107876  -27.900000 54.460975  -27.900000 54.825312  -27.900000 54.806137 
-27.800000 53.221509  -27.800000 52.507324  -27.800000 52.756795  -27.800000 52.953542 
-27.700000 54.354980  -27.700000 53.154940  -27.700000 53.068629  -27.700000 53.322494 
-27.600000 53.421488  -27.600000 53.343120  -27.600000 52.942621  -27.600000 53.186863 
-27.500000 56.323075  -27.500000 55.232781  -27.500000 55.248105  -27.500000 55.215940 
-27.400000 54.902274  -27.400000 54.659817  -27.400000 54.710490  -27.400000 54.726770 
-27.300000 54.323158  -27.300000 53.587078  -27.300000 53.637435  -27.300000 53.566184 
-27.200000 55.104521  -27.200000 55.013322  -27.200000 54.737170  -27.200000 54.809300 
-27.100000 56.278672  -27.100000 55.569189  -27.100000 55.341718  -27.100000 55.595415 
-27.000000 54.070839  -27.000000 53.685242  -27.000000 53.680096  -27.000000 53.581153 
-26.900000 54.223726  -26.900000 54.017149  -26.900000 53.773747  -26.900000 53.684780 
-26.800000 56.485352  -26.800000 55.913162  -26.800000 55.827092  -26.800000 56.038310 
-26.700000 55.106317  -26.700000 55.410152  -26.700000 55.410718  -26.700000 55.541366 
-26.600000 54.579431  -26.600000 54.294993  -26.600000 54.610797  -26.600000 54.521620 
-26.500000 55.756022  -26.500000 55.760923  -26.500000 55.587959  -26.500000 55.701188 
-26.400000 54.302542  -26.400000 54.262137  -26.400000 53.957675  -26.400000 54.148512 
-26.300000 55.389259  -26.300000 54.831571  -26.300000 54.578258  -26.300000 54.597902 
-26.200000 55.185028  -26.200000 54.798471  -26.200000 54.770869  -26.200000 54.722088 
-26.100000 54.572349  -26.100000 54.597892  -26.100000 54.399184  -26.100000 54.584336 
-26.000000 56.452628  -26.000000 56.560930  -26.000000 56.178391  -26.000000 56.375051 
-25.900000 55.915672  -25.900000 55.449144  -25.900000 55.461503  -25.900000 55.350028 
-25.800000 56.082067  -25.800000 56.220095  -25.800000 56.462509  -25.800000 56.571222 
-25.700000 56.571347  -25.700000 57.142443  -25.700000 56.998662  -25.700000 57.073349 
-25.600000 55.970439  -25.600000 54.760879  -25.600000 54.765404  -25.600000 54.939451 
-25.500000 57.805424  -25.500000 57.367898  -25.500000 57.162526  -25.500000 57.288829 
-25.400000 57.392325  -25.400000 56.649728  -25.400000 56.863243  -25.400000 56.943214 
-25.300000 56.036868  -25.300000 55.429531  -25.300000 56.033625  -25.300000 55.895751 
-25.200000 57.035105  -25.200000 56.979958  -25.200000 57.130377  -25.200000 57.146611 
-25.100000 57.536130  -25.100000 57.421520  -25.100000 57.602704  -25.100000 57.628610 
-25.000000 56.006206  -25.000000 55.281059  -25.000000 55.474421  -25.000000 55.557466 
-24.900000 58.138287  -24.900000 57.706386  -24.900000 57.891275  -24.900000 57.988732 
-24.800000 57.438538  -24.800000 57.647945  -24.800000 57.368051  -24.800000 57.458908 
-24.700000 56.623574  -24.700000 56.449632  -24.700000 56.644467  -24.700000 56.454262 
-24.600000 58.408479  -24.600000 57.230023  -24.600000 57.547373  -24.600000 57.577051 
-24.500000 58.759567  -24.500000 58.379577  -24.500000 58.030767  -24.500000 58.053538 
-24.400000 58.128982  -24.400000 57.874918  -24.400000 58.081892  -24.400000 58.200458 
-24.300000 58.129675  -24.300000 58.087024  -24.300000 57.864144  -24.300000 57.975122 
-24.200000 57.172783  -24.200000 57.083058  -24.200000 56.923293  -24.200000 57.096237 
-24.100000 59.024424  -24.100000 57.940761  -24.100000 58.185842  -24.100000 58.337084 
-24.000000 56.964789  -24.000000 56.348409  -24.000000 56.549780  -24.000000 56.534250 
-23.900000 56.968993  -23.900000 56.584072  -23.900000 56.963699  -23.900000 56.901432 
-23.800000 57.526811  -23.800000 56.549852  -23.800000 56.584480  -23.800000 56.617055 
-23.700000 58.565245  -23.700000 58.872477  -23.700000 58.585988  -23.700000 58.531289 
-23.600000 56.949526  -23.600000 57.293465  -23.600000 57.227393  -23.600000 57.243407 
-23.500000 58.068783  -23.500000 58.267887  -23.500000 58.013460  -23.500000 58.091050 
-23.400000 58.317296  -23.400000 58.556725  -23.400000 58.436163  -23.400000 58.414402 
-23.300000 58.916973  -23.300000 57.906522  -23.300000 58.334411  -23.300000 58.179510 
-23.200000 58.113912  -23.200000 57.211648  -23.200000 57.336184  -23.200000 57.285133 
-23.100000 58.822531  -23.100000 58.319820  -23.100000 58.616283  -23.100000 58.560521 
-23.000000 59.562257  -23.000000 59.208616  -23.000000 59.064461  -23.000000 59.110844 
-22.900000 59.828938  -22.900000 58.986402  -22.900000 59.269764  -22.900000 59.351836 
-22.800000 58.603984  -22.800000 58.976424  -22.800000 58.778212  -22.800000 58.987950 
-22.700000 57.299217  -22.700000 58.070110  -22.700000 57.851317  -22.700000 57.776535 
-22.600000 58.733610  -22.600000 58.763465  -22.600000 58.591627  -22.600000 58.953652 
-22.500000 59.610277  -22.500000 59.426243  -22.500000 59.079033  -22.500000 59.276100 
-22.400000 59.143179  -22.400000 59.208644  -22.400000 58.899502  -22.400000 59.026596 
