-40.000000 41.604601  -40.000000 41.271759  -40.000000 41.842855  -40.000000 41.796047 
-39.900000 41.207488  -39.900000 41.530187  -39.900000 42.060544  -39.900000 41.853093 
-39.800000 42.534744  -39.800000 41.517719  -39.800000 42.179819  -39.800000 41.974658 
-39.700000 42.513162  -39.700000 42.211532  -39.700000 42.230730  -39.700000 41.966166 
-39.600000 41.849820  -39.600000 41.611860  -39.600000 41.786976  -39.600000 41.922152 
-39.500000 43.071411  -39.500000 42.491959  -39.500000 42.289114  -39.500000 42.219681 
-39.400000 42.200622  -39.400000 42.328595  -39.400000 42.469568  -39.400000 42.281182 
-39.300000 43.422834  -39.300000 42.359814  -39.300000 42.390744  -39.300000 42.386420 
-39.200000 43.382610  -39.200000 42.818465  -39.200000 42.675718  -39.200000 42.450752 
-39.100000 41.981704  -39.100000 42.505947  -39.100000 42.369721  -39.100000 42.579114 
-39.000000 42.471175  -39.000000 42.977857  -39.000000 42.578146  -39.000000 42.748528 
-38.900000 43.509270  -38.900000 43.408443  -38.900000 42.606166  -38.900000 42.667049 
-38.800000 43.109901  -38.800000 42.864114  -38.800000 42.712769  -38.800000 42.833010 
-38.700000 43.482931  -38.700000 42.715712  -38.700000 43.015387  -38.700000 43.060094 
-38.600000 43.372778  -38.600000 42.872427  -38.600000 43.044665  -38.600000 43.041435 
-38.500000 43.482433  -38.500000 43.412523  -38.500000 43.293294  -38.500000 43.302153 
-38.400000 43.402225  -38.400000 43.090323  -38.400000 43.525580  -38.400000 43.244406 
-38.300000 43.323278  -38.300000 43.004034  -38.300000 43.312655  -38.300000 43.319123 
-38.200000 43.580815  -38.200000 43.684534  -38.200000 43.324058  -38.200000 43.511804 
-38.100000 43.370914  -38.100000 43.213409  -38.100000 43.622247  -38.100000 43.419796 
-38.000000 43.011280  -38.000000 43.361154  -38.000000 43.597236  -38.000000 43.762582 
-37.900000 44.379976  -37.900000 44.000785  -37.900000 43.800404  -37.900000 43.806110 
-37.800000 44.247391  -37.800000 43.773614  -37.800000 43.927257  -37.800000 43.787154 
-37.700000 44.313393  -37.700000 43.973842  -37.700000 43.995710  -37.700000 44.029226 
-37.600000 44.062042  -37.600000 43.787083  -37.600000 44.176306  -37.600000 44.036310 
-37.500000 44.435984  -37.500000 44.553965  -37.500000 44.105478  -37.500000 44.253187 
-37.400000 44.201479  -37.400000 44.252604  -37.400000 44.087526  -37.400000 44.180670 
-37.300000 44.013496  -37.300000 45.028025  -37.300000 44.266234  -37.300000 44.427104 
-37.200000 44.726633  -37.200000 44.067101  -37.200000 44.550290  -37.200000 44.333575 
-37.100000 44.772162  -37.100000 44.623993  -37.100000 44.584491  -37.100000 44.529479 
-37.000000 44.394803  -37.000000 45.169222  -37.000000 44.829119  -37.000000 44.598102 
