-40.000000 41.568871  -40.000000 41.234196  -40.000000 41.168223  -40.000000 41.161865 
-39.900000 41.752712  -39.900000 41.653202  -39.900000 41.534181  -39.900000 41.711282 
-39.800000 42.424215  -39.800000 42.736092  -39.800000 42.456348  -39.800000 42.693824 
-39.700000 41.866724  -39.700000 41.525847  -39.700000 41.735604  -39.700000 41.889831 
-39.600000 42.742666  -39.600000 42.509420  -39.600000 42.033508  -39.600000 42.234151 
-39.500000 42.049163  -39.500000 42.147616  -39.500000 42.082685  -39.500000 42.298597 
-39.400000 43.282787  -39.400000 42.793716  -39.400000 43.372944  -39.400000 43.257495 
-39.300000 41.540769  -39.300000 41.231876  -39.300000 42.021180  -39.300000 41.820324 
-39.200000 42.950106  -39.200000 42.244285  -39.200000 41.772303  -39.200000 41.949145 
-39.100000 42.116759  -39.100000 41.715718  -39.100000 41.823178  -39.100000 41.746081 
-39.000000 42.130357  -39.000000 42.293590  -39.000000 42.410147  -39.000000 42.596225 
-38.900000 41.529469  -38.900000 42.188888  -38.900000 42.200538  -38.900000 42.195380 
-38.800000 42.472240  -38.800000 41.736061  -38.800000 41.753778  -38.800000 41.772713 
-38.700000 43.518562  -38.700000 43.807367  -38.700000 43.654100  -38.700000 43.731990 
-38.600000 43.141257  -38.600000 43.663411  -38.600000 43.344505  -38.600000 43.317593 
-38.500000 44.504671  -38.500000 43.844899  -38.500000 43.684154  -38.500000 43.527271 
-38.400000 43.156244  -38.400000 42.939959  -38.400000 42.852119  -38.400000 43.048975 
-38.300000 44.265224  -38.300000 43.958508  -38.300000 44.416838  -38.300000 44.361800 
-38.200000 43.383208  -38.200000 43.878582  -38.200000 43.960420  -38.200000 43.672394 
-38.100000 42.637823  -38.100000 42.646687  -38.100000 42.586239  -38.100000 42.639138 
-38.000000 43.502040  -38.000000 43.702863  -38.000000 44.116383  -38.000000 43.900444 
-37.900000 42.522314  -37.900000 42.524482  -37.900000 42.715434  -37.900000 42.718372 
-37.800000 43.572948  -37.800000 44.071070  -37.800000 43.901891  -37.800000 43.936311 
-37.700000 45.055654  -37.700000 44.915133  -37.700000 44.662047  -37.700000 44.875247 
-37.600000 43.746261  -37.600000 43.863003  -37.600000 43.476045  -37.600000 43.628561 
-37.500000 44.293144  -37.500000 44.256157  -37.500000 44.351624  -37.500000 44.365760 
-37.400000 44.064518  -37.400000 44.296522  -37.400000 44.229894  -37.400000 44.309434 
-37.300000 45.261940  -37.300000 45.024506  -37.300000 45.116371  -37.300000 44.913238 
-37.200000 46.191684  -37.200000 45.381986  -37.200000 45.290879  -37.200000 45.386319 
-37.100000 44.750114  -37.100000 45.169172  -37.100000 44.746378  -37.100000 44.867636 
-37.000000 45.425096  -37.000000 45.215583  -37.000000 45.357916  -37.000000 45.335446 
-36.900000 45.006242  -36.900000 45.661948  -36.900000 45.519448  -36.900000 45.589293 
-36.800000 45.140681  -36.800000 44.740000  -36.800000 44.886013  -36.800000 44.847386 
-36.700000 44.491353  -36.700000 44.926827  -36.700000 45.146949  -36.700000 44.907766 
-36.600000 45.497417  -36.600000 45.039660  -36.600000 44.837587  -36.600000 44.905192 
-36.500000 45.670397  -36.500000 46.149743  -36.500000 45.908065  -36.500000 45.981957 
-36.400000 44.611277  -36.400000 44.913176  -36.400000 44.844442  -36.400000 44.949147 
-36.300000 44.666640  -36.300000 44.813416  -36.300000 44.558271  -36.300000 44.729563 
-36.200000 45.486228  -36.200000 45.508297  -36.200000 45.420190  -36.200000 45.547412 
-36.100000 47.163526  -36.100000 46.531016  -36.100000 46.423921  -36.100000 46.363530 
-36.000000 45.431481  -36.000000 45.438974  -36.000000 45.726920  -36.000000 45.578134 
-35.900000 47.416232  -35.900000 46.033745  -35.900000 46.131122  -35.900000 46.227359 
-35.800000 46.482276  -35.800000 46.517470  -35.800000 46.740949  -35.800000 46.717024 
-35.700000 45.381407  -35.700000 44.682569  -35.700000 44.677632  -35.700000 44.866516 
-35.600000 44.774582  -35.600000 44.852252  -35.600000 45.133457  -35.600000 45.044994 
-35.500000 45.208342  -35.500000 45.292861  -35.500000 45.197134  -35.500000 45.221523 
-35.400000 45.964660  -35.400000 45.037609  -35.400000 45.221198  -35.400000 45.261507 
-35.300000 47.590873  -35.300000 47.463996  -35.300000 47.379289  -35.300000 47.410996 
-35.200000 47.303588  -35.200000 46.977075  -35.200000 47.200623  -35.200000 47.206189 
-35.100000 47.921212  -35.100000 46.647302  -35.100000 47.093820  -35.100000 46.908495 
-35.000000 46.303111  -35.000000 46.228697  -35.000000 46.332840  -35.000000 46.356861 
-34.900000 48.082866  -34.900000 47.066860  -34.900000 47.373239  -34.900000 47.266753 
-34.800000 47.123634  -34.800000 46.996979  -34.800000 46.502906  -34.800000 46.540510 
-34.700000 47.019253  -34.700000 47.288890  -34.700000 47.200846  -34.700000 47.215396 
-34.600000 45.766077  -34.600000 46.012297  -34.600000 46.176581  -34.600000 46.199108 
-34.500000 47.544017  -34.500000 47.574848  -34.500000 47.463339  -34.500000 47.339271 
-34.400000 46.819899  -34.400000 47.339913  -34.400000 47.620534  -34.400000 47.608633 
-34.300000 47.652914  -34.300000 47.527089  -34.300000 47.650631  -34.300000 47.559999 
-34.200000 48.632248  -34.200000 48.243613  -34.200000 48.341108  -34.200000 48.276333 
-34.100000 48.837097  -34.100000 48.477334  -34.100000 47.997633  -34.100000 48.202685 
-34.000000 47.986270  -34.000000 47.560074  -34.000000 47.908332  -34.000000 47.758029 
-33.900000 48.635671  -33.900000 47.964420  -33.900000 48.203615  -33.900000 48.093148 
-33.800000 48.326073  -33.800000 47.143321  -33.800000 47.503036  -33.800000 47.529062 
-33.700000 49.798435  -33.700000 48.974503  -33.700000 49.078017  -33.700000 48.850203 
-33.600000 47.811879  -33.600000 48.238635  -33.600000 48.227796  -33.600000 48.200869 
-33.500000 46.619716  -33.500000 46.962236  -33.500000 47.017089  -33.500000 46.891224 
-33.400000 48.167880  -33.400000 48.266093  -33.400000 47.697591  -33.400000 47.973678 
-33.300000 49.075956  -33.300000 48.960318  -33.300000 49.015973  -33.300000 48.876847 
-33.200000 48.744813  -33.200000 48.639237  -33.200000 48.889166  -33.200000 48.843942 
-33.100000 49.106679  -33.100000 48.142203  -33.100000 47.892962  -33.100000 48.047537 
-33.000000 47.228471  -33.000000 47.294936  -33.000000 47.590003  -33.000000 47.420791 
-32.900000 48.607868  -32.900000 47.970732  -32.900000 47.929213  -32.900000 47.581752 
-32.800000 49.973016  -32.800000 49.591725  -32.800000 49.100880  -32.800000 49.162764 
-32.700000 49.352138  -32.700000 49.679736  -32.700000 49.476507  -32.700000 49.259697 
-32.600000 48.964499  -32.600000 48.280506  -32.600000 48.656410  -32.600000 48.118775 
-32.500000 49.425852  -32.500000 49.287888  -32.500000 49.557450  -32.500000 49.310005 
-32.400000 48.540857  -32.400000 48.820432  -32.400000 48.646637  -32.400000 48.749721 
-32.300000 48.259690  -32.300000 50.033190  -32.300000 49.587148  -32.300000 49.453159 
-32.200000 50.470935  -32.200000 50.424552  -32.200000 49.958930  -32.200000 49.997451 
-32.100000 49.495199  -32.100000 48.574515  -32.100000 48.924129  -32.100000 48.794233 
-32.000000 49.017156  -32.000000 49.290673  -32.000000 49.200313  -32.000000 48.922380 
-31.900000 49.380948  -31.900000 49.215021  -31.900000 49.449106  -31.900000 48.984363 
-31.800000 50.881331  -31.800000 50.663218  -31.800000 50.574112  -31.800000 50.354269 
-31.700000 50.243267  -31.700000 50.238659  -31.700000 50.098015  -31.700000 49.940799 
-31.600000 49.868838  -31.600000 49.608110  -31.600000 49.744902  -31.600000 49.608791 
-31.500000 49.876887  -31.500000 50.829519  -31.500000 50.269849  -31.500000 50.160494 
-31.400000 50.068823  -31.400000 49.670181  -31.400000 49.277119  -31.400000 49.205586 
