-40.000000 41.311717  -40.000000 42.011047  -40.000000 41.762702  -40.000000 41.654555 
-39.900000 41.774760  -39.900000 42.200234  -39.900000 41.971433  -39.900000 41.695546 
-39.800000 42.024783  -39.800000 42.462811  -39.800000 42.030947  -39.800000 41.890772 
-39.700000 42.233904  -39.700000 42.458299  -39.700000 42.346970  -39.700000 42.076612 
-39.600000 41.955964  -39.600000 42.439353  -39.600000 42.224427  -39.600000 41.949342 
-39.500000 42.463486  -39.500000 42.705808  -39.500000 42.468357  -39.500000 42.145586 
-39.400000 41.982445  -39.400000 42.619085  -39.400000 42.453849  -39.400000 42.236571 
-39.300000 42.447842  -39.300000 42.866424  -39.300000 42.710949  -39.300000 42.684267 
-39.200000 43.080079  -39.200000 43.345943  -39.200000 42.944399  -39.200000 42.926011 
-39.100000 42.212384  -39.100000 42.538672  -39.100000 42.357578  -39.100000 42.371149 
-39.000000 42.319569  -39.000000 42.915404  -39.000000 42.644634  -39.000000 42.668749 
-38.900000 42.511893  -38.900000 43.120788  -38.900000 42.877145  -38.900000 42.832192 
-38.800000 43.186962  -38.800000 43.264955  -38.800000 43.160871  -38.800000 43.142704 
-38.700000 42.950356  -38.700000 43.491659  -38.700000 43.100067  -38.700000 43.271687 
-38.600000 43.536447  -38.600000 43.721362  -38.600000 43.296747  -38.600000 43.244430 
-38.500000 42.485918  -38.500000 43.572617  -38.500000 43.418877  -38.500000 43.200974 
-38.400000 43.441806  -38.400000 43.972820  -38.400000 43.599029  -38.400000 43.331273 
-38.300000 43.229196  -38.300000 43.658626  -38.300000 43.390428  -38.300000 43.278871 
-38.200000 43.700716  -38.200000 44.187273  -38.200000 43.938244  -38.200000 43.715914 
-38.100000 43.683444  -38.100000 43.871228  -38.100000 43.746945  -38.100000 43.657001 
-38.000000 43.921017  -38.000000 43.904397  -38.000000 43.717532  -38.000000 43.580103 
-37.900000 44.166764  -37.900000 44.644257  -37.900000 44.190574  -37.900000 43.992748 
-37.800000 43.872782  -37.800000 44.043294  -37.800000 43.607462  -37.800000 43.696351 
-37.700000 43.927339  -37.700000 44.567215  -37.700000 43.901335  -37.700000 43.986467 
-37.600000 44.234165  -37.600000 44.244219  -37.600000 44.140886  -37.600000 44.122046 
-37.500000 43.302253  -37.500000 43.975274  -37.500000 43.852467  -37.500000 43.825029 
-37.400000 44.591717  -37.400000 44.775929  -37.400000 44.420517  -37.400000 44.371342 
-37.300000 44.800602  -37.300000 44.988898  -37.300000 44.536185  -37.300000 44.378075 
-37.200000 44.932659  -37.200000 44.735203  -37.200000 44.417775  -37.200000 44.337556 
-37.100000 45.335775  -37.100000 44.918548  -37.100000 44.631502  -37.100000 44.415653 
-37.000000 44.446395  -37.000000 45.047204  -37.000000 44.889729  -37.000000 44.648631 
-36.900000 44.841077  -36.900000 45.181354  -36.900000 44.866826  -36.900000 44.699276 
-36.800000 44.566079  -36.800000 44.866211  -36.800000 44.568265  -36.800000 44.492341 
-36.700000 45.106038  -36.700000 45.549608  -36.700000 45.324690  -36.700000 44.940326 
-36.600000 45.262335  -36.600000 45.254266  -36.600000 44.733166  -36.600000 44.115546 
-36.500000 44.899173  -36.500000 45.543327  -36.500000 44.893140  -36.500000 44.129226 
-36.400000 45.156323  -36.400000 45.855628  -36.400000 44.895561  -36.400000 44.365319 
-36.300000 44.932008  -36.300000 45.771683  -36.300000 44.951163  -36.300000 44.246093 
-36.200000 45.203933  -36.200000 45.424518  -36.200000 45.091928  -36.200000 44.315447 
-36.100000 46.064971  -36.100000 46.550685  -36.100000 45.380826  -36.100000 44.748026 
-36.000000 45.919441  -36.000000 46.130198  -36.000000 45.241708  -36.000000 44.663970 
-35.900000 46.141441  -35.900000 46.233343  -35.900000 45.469517  -35.900000 44.816083 
-35.800000 46.225118  -35.800000 46.583178  -35.800000 45.832154  -35.800000 45.051021 
-35.700000 46.023504  -35.700000 46.521279  -35.700000 45.635300  -35.700000 44.972496 
-35.600000 46.433035  -35.600000 46.770597  -35.600000 45.898149  -35.600000 45.225594 
-35.500000 46.010428  -35.500000 46.371723  -35.500000 46.030231  -35.500000 45.108826 
-35.400000 46.073740  -35.400000 46.492766  -35.400000 45.895819  -35.400000 45.194114 
-35.300000 46.352116  -35.300000 46.600564  -35.300000 46.023919  -35.300000 45.368073 
-35.200000 46.416789  -35.200000 47.014657  -35.200000 46.152873  -35.200000 45.399650 
-35.100000 46.449202  -35.100000 46.929516  -35.100000 46.260066  -35.100000 45.584911 
-35.000000 46.892201  -35.000000 47.115822  -35.000000 46.410651  -35.000000 45.683046 
-34.900000 47.034415  -34.900000 47.258028  -34.900000 46.400793  -34.900000 45.831788 
-34.800000 47.150517  -34.800000 47.381971  -34.800000 46.807213  -34.800000 46.001256 
-34.700000 47.363623  -34.700000 47.596504  -34.700000 46.897544  -34.700000 46.152403 
-34.600000 47.238278  -34.600000 47.460788  -34.600000 46.725660  -34.600000 46.088537 
-34.500000 47.189702  -34.500000 47.385285  -34.500000 46.875426  -34.500000 46.165506 
-34.400000 47.235789  -34.400000 47.487535  -34.400000 46.788144  -34.400000 46.142746 
-34.300000 47.653175  -34.300000 47.633501  -34.300000 47.226736  -34.300000 46.465203 
-34.200000 47.411784  -34.200000 47.606510  -34.200000 47.043381  -34.200000 46.364012 
-34.100000 47.577256  -34.100000 48.034934  -34.100000 47.422458  -34.100000 46.656617 
-34.000000 47.579209  -34.000000 48.146354  -34.000000 47.297891  -34.000000 46.662912 
-33.900000 47.741874  -33.900000 48.137038  -33.900000 47.585662  -33.900000 46.823387 
-33.800000 48.145389  -33.800000 48.475009  -33.800000 47.709405  -33.800000 46.942119 
-33.700000 48.011514  -33.700000 48.302526  -33.700000 47.713867  -33.700000 46.936031 
-33.600000 48.564020  -33.600000 48.928204  -33.600000 48.014039  -33.600000 47.285114 
-33.500000 48.244778  -33.500000 48.371039  -33.500000 48.022857  -33.500000 47.192313 
-33.400000 48.211157  -33.400000 48.567633  -33.400000 47.902895  -33.400000 47.260012 
-33.300000 48.312169  -33.300000 48.636033  -33.300000 48.000655  -33.300000 47.271452 
-33.200000 48.496618  -33.200000 48.776362  -33.200000 48.294112  -33.200000 47.546379 
-33.100000 47.844084  -33.100000 48.760217  -33.100000 48.007970  -33.100000 47.387573 
-33.000000 48.757411  -33.000000 49.165786  -33.000000 48.476377  -33.000000 47.708744 
-32.900000 49.291248  -32.900000 49.305191  -32.900000 48.640227  -32.900000 47.911596 
-32.800000 49.001183  -32.800000 49.134602  -32.800000 48.437871  -32.800000 47.821460 
-32.700000 48.596862  -32.700000 48.854616  -32.700000 48.293925  -32.700000 47.729562 
-32.600000 48.993702  -32.600000 49.562632  -32.600000 48.602773  -32.600000 47.883389 
-32.500000 48.971747  -32.500000 49.689472  -32.500000 48.972396  -32.500000 48.146028 
