-40.000000 40.843141  -40.000000 41.186309  -40.000000 41.170800  -40.000000 41.308846 
-39.900000 43.108345  -39.900000 42.208047  -39.900000 42.146541  -39.900000 42.242506 
-39.800000 42.832938  -39.800000 42.752029  -39.800000 42.935006  -39.800000 42.858280 
-39.700000 41.155924  -39.700000 41.030380  -39.700000 41.066130  -39.700000 41.205180 
-39.600000 41.507481  -39.600000 42.024513  -39.600000 41.895830  -39.600000 41.853096 
-39.500000 42.374471  -39.500000 42.555930  -39.500000 42.509666  -39.500000 42.469585 
-39.400000 42.974205  -39.400000 43.050228  -39.400000 43.072218  -39.400000 42.911900 
-39.300000 43.296661  -39.300000 43.187213  -39.300000 43.244115  -39.300000 43.306030 
-39.200000 44.548724  -39.200000 43.478216  -39.200000 43.621343  -39.200000 43.598396 
-39.100000 41.154247  -39.100000 41.096131  -39.100000 41.410060  -39.100000 41.378544 
-39.000000 41.297837  -39.000000 41.402212  -39.000000 41.452609  -39.000000 41.609003 
-38.900000 41.614073  -38.900000 41.740915  -38.900000 41.715205  -38.900000 41.525300 
-38.800000 43.666651  -38.800000 43.607275  -38.800000 43.956657  -38.800000 43.952425 
-38.700000 43.961092  -38.700000 43.488500  -38.700000 43.860048  -38.700000 43.937546 
-38.600000 44.233045  -38.600000 43.865643  -38.600000 43.677937  -38.600000 43.751199 
-38.500000 43.340028  -38.500000 43.419665  -38.500000 43.553965  -38.500000 43.720038 
-38.400000 43.869020  -38.400000 43.021941  -38.400000 43.210092  -38.400000 43.176200 
-38.300000 42.176019  -38.300000 42.662255  -38.300000 42.785896  -38.300000 42.597859 
-38.200000 45.573882  -38.200000 44.908874  -38.200000 44.441661  -38.200000 44.502227 
-38.100000 43.622867  -38.100000 44.084340  -38.100000 44.031451  -38.100000 44.007680 
-38.000000 43.898856  -38.000000 43.214083  -38.000000 43.134087  -38.000000 43.230724 
-37.900000 45.237933  -37.900000 44.526765  -37.900000 44.939604  -37.900000 44.819491 
-37.800000 43.889915  -37.800000 43.906866  -37.800000 43.874549  -37.800000 43.979938 
-37.700000 42.526695  -37.700000 43.015427  -37.700000 42.964477  -37.700000 42.814533 
-37.600000 44.874832  -37.600000 44.124779  -37.600000 44.221050  -37.600000 44.275259 
-37.500000 42.689986  -37.500000 43.143329  -37.500000 43.091087  -37.500000 42.962267 
-37.400000 44.026892  -37.400000 44.429454  -37.400000 44.203133  -37.400000 44.179553 
-37.300000 44.513109  -37.300000 45.116538  -37.300000 45.140681  -37.300000 45.177149 
-37.200000 43.640817  -37.200000 43.542688  -37.200000 43.727330  -37.200000 43.609319 
-37.100000 44.817663  -37.100000 44.773169  -37.100000 44.435002  -37.100000 44.576303 
-37.000000 45.662219  -37.000000 45.315036  -37.000000 45.305651  -37.000000 45.176507 
-36.900000 45.928334  -36.900000 45.508835  -36.900000 45.706344  -36.900000 45.722043 
-36.800000 44.725268  -36.800000 43.781747  -36.800000 43.845586  -36.800000 43.787183 
-36.700000 44.063577  -36.700000 43.993742  -36.700000 44.375726  -36.700000 44.326259 
-36.600000 44.749247  -36.600000 44.581994  -36.600000 44.424725  -36.600000 44.582778 
-36.500000 44.128613  -36.500000 44.826459  -36.500000 44.680249  -36.500000 44.736616 
-36.400000 44.290443  -36.400000 44.829461  -36.400000 44.891939  -36.400000 44.844166 
-36.300000 44.672099  -36.300000 44.626233  -36.300000 44.803719  -36.300000 44.669344 
-36.200000 44.581714  -36.200000 44.838861  -36.200000 44.547358  -36.200000 44.565729 
-36.100000 47.250788  -36.100000 46.404868  -36.100000 46.744290  -36.100000 46.628608 
-36.000000 46.774474  -36.000000 46.399165  -36.000000 46.399132  -36.000000 46.403711 
-35.900000 46.834823  -35.900000 45.994031  -35.900000 45.695415  -35.900000 45.826050 
-35.800000 46.514750  -35.800000 45.129555  -35.800000 45.082599  -35.800000 45.138090 
-35.700000 47.286875  -35.700000 47.038869  -35.700000 46.729720  -35.700000 46.847575 
-35.600000 45.966797  -35.600000 46.212619  -35.600000 46.080797  -35.600000 45.995925 
-35.500000 45.823756  -35.500000 45.082669  -35.500000 44.983548  -35.500000 44.938546 
-35.400000 47.207774  -35.400000 46.748771  -35.400000 46.202565  -35.400000 46.312397 
-35.300000 47.353458  -35.300000 47.708312  -35.300000 47.502606  -35.300000 47.413626 
-35.200000 46.336293  -35.200000 46.309915  -35.200000 46.114847  -35.200000 46.033561 
-35.100000 46.937440  -35.100000 47.157164  -35.100000 47.092334  -35.100000 47.152834 
-35.000000 48.358811  -35.000000 47.675033  -35.000000 47.839556  -35.000000 47.711543 
-34.900000 45.512713  -34.900000 46.233272  -34.900000 45.922780  -34.900000 46.044514 
-34.800000 47.285440  -34.800000 46.734492  -34.800000 46.639871  -34.800000 46.569912 
-34.700000 46.785004  -34.700000 47.447736  -34.700000 47.066317  -34.700000 46.991757 
-34.600000 47.924156  -34.600000 47.209163  -34.600000 47.135247  -34.600000 47.126873 
-34.500000 47.742869  -34.500000 47.222590  -34.500000 47.256333  -34.500000 47.263673 
-34.400000 47.281591  -34.400000 47.050506  -34.400000 47.320606  -34.400000 47.200807 
-34.300000 47.466139  -34.300000 47.025668  -34.300000 47.221847  -34.300000 47.155963 
-34.200000 46.787648  -34.200000 46.754604  -34.200000 46.684024  -34.200000 46.742865 
-34.100000 48.574237  -34.100000 48.618580  -34.100000 48.745722  -34.100000 48.707333 
-34.000000 49.211397  -34.000000 48.084517  -34.000000 48.155085  -34.000000 48.132915 
-33.900000 47.453514  -33.900000 47.822980  -33.900000 47.466525  -33.900000 47.268268 
-33.800000 49.086826  -33.800000 48.793113  -33.800000 48.749994  -33.800000 48.717865 
-33.700000 48.036228  -33.700000 47.799824  -33.700000 47.809228  -33.700000 47.761063 
-33.600000 48.614885  -33.600000 48.875640  -33.600000 49.063195  -33.600000 49.089562 
-33.500000 48.837021  -33.500000 47.992885  -33.500000 47.710844  -33.500000 47.536235 
-33.400000 49.114088  -33.400000 48.907563  -33.400000 48.677316  -33.400000 48.575005 
-33.300000 49.865861  -33.300000 49.377782  -33.300000 49.358810  -33.300000 49.256465 
-33.200000 48.025831  -33.200000 47.322893  -33.200000 47.426233  -33.200000 47.251956 
-33.100000 47.610716  -33.100000 48.269011  -33.100000 47.916059  -33.100000 47.934035 
-33.000000 49.078541  -33.000000 48.334047  -33.000000 47.909864  -33.000000 48.001480 
-32.900000 48.694652  -32.900000 48.533820  -32.900000 48.148098  -32.900000 48.142463 
-32.800000 49.188012  -32.800000 48.146251  -32.800000 47.991463  -32.800000 47.930577 
-32.700000 48.329474  -32.700000 48.319748  -32.700000 47.575078  -32.700000 47.552222 
