-32.900000 50.071790  -32.900000 48.961478  -32.900000 48.753755  -32.900000 48.740956 
-32.800000 48.511218  -32.800000 49.524810  -32.800000 49.187481  -32.800000 48.905331 
-32.700000 49.473011  -32.700000 49.012834  -32.700000 49.083497  -32.700000 48.946787 
-32.600000 48.993989  -32.600000 48.556386  -32.600000 49.034011  -32.600000 49.115809 
-32.500000 50.587230  -32.500000 48.948281  -32.500000 49.392443  -32.500000 49.205868 
-32.400000 48.736101  -32.400000 48.948917  -32.400000 49.116515  -32.400000 49.289876 
-32.300000 49.175864  -32.300000 49.252930  -32.300000 49.557346  -32.300000 49.592309 
-32.200000 50.625967  -32.200000 49.360244  -32.200000 49.606137  -32.200000 49.430456 
-32.100000 49.812977  -32.100000 49.714178  -32.100000 49.921601  -32.100000 49.592837 
-32.000000 49.885194  -32.000000 50.006130  -32.000000 49.857955  -32.000000 49.723740 
-31.900000 50.497655  -31.900000 50.091346  -31.900000 49.607917  -31.900000 49.740283 
-31.800000 50.184349  -31.800000 50.171997  -31.800000 50.059100  -31.800000 49.927590 
-31.700000 49.564615  -31.700000 49.979459  -31.700000 49.989601  -31.700000 49.980434 
-31.600000 50.872307  -31.600000 50.128161  -31.600000 49.956774  -31.600000 50.090815 
-31.500000 50.490851  -31.500000 50.560640  -31.500000 50.492250  -31.500000 50.248931 
-31.400000 50.383759  -31.400000 50.160083  -31.400000 50.380764  -31.400000 50.389440 
-31.300000 49.926915  -31.300000 50.075930  -31.300000 50.355983  -31.300000 50.521322 
-31.200000 51.584973  -31.200000 50.495209  -31.200000 50.243408  -31.200000 50.560437 
-31.100000 51.135416  -31.100000 50.664970  -31.100000 50.438364  -31.100000 50.573574 
-31.000000 51.661283  -31.000000 50.896625  -31.000000 50.524010  -31.000000 50.729445 
-30.900000 51.317876  -30.900000 50.447714  -30.900000 50.711543  -30.900000 50.696682 
-30.800000 50.774324  -30.800000 50.471134  -30.800000 51.040587  -30.800000 50.814413 
-30.700000 52.293368  -30.700000 50.856841  -30.700000 50.908014  -30.700000 51.034213 
-30.600000 51.737058  -30.600000 51.042489  -30.600000 50.945569  -30.600000 51.122201 
-30.500000 51.974634  -30.500000 51.369422  -30.500000 51.107852  -30.500000 51.277078 
-30.400000 50.824460  -30.400000 51.495081  -30.400000 51.372589  -30.400000 51.285188 
-30.300000 51.338400  -30.300000 51.104652  -30.300000 51.145446  -30.300000 51.415476 
-30.200000 50.725929  -30.200000 51.635206  -30.200000 51.395965  -30.200000 51.629648 
-30.100000 52.438656  -30.100000 51.706779  -30.100000 51.475363  -30.100000 51.580374 
-30.000000 52.031658  -30.000000 51.926377  -30.000000 51.655240  -30.000000 51.729486 
-29.900000 52.314090  -29.900000 52.003712  -29.900000 51.619152  -29.900000 51.968497 
-29.800000 51.350051  -29.800000 51.925006  -29.800000 51.835072  -29.800000 51.939443 
-29.700000 53.262648  -29.700000 51.851255  -29.700000 51.964914  -29.700000 52.002705 
-29.600000 51.511092  -29.600000 51.702014  -29.600000 52.075265  -29.600000 52.072034 
-29.500000 53.164023  -29.500000 52.507537  -29.500000 52.098586  -29.500000 52.184848 
