-32.900000 51.532766  -32.900000 52.750700  -32.900000 51.975693  -32.900000 53.240731 
-32.800000 51.114446  -32.800000 52.541616  -32.800000 55.527530  -32.800000 53.682771 
-32.700000 50.674004  -32.700000 51.728491  -32.700000 55.091493  -32.700000 53.430581 
-32.600000 50.982868  -32.600000 55.662982  -32.600000 52.460995  -32.600000 53.743796 
-32.500000 51.571840  -32.500000 54.672792  -32.500000 54.178934  -32.500000 53.571742 
-32.400000 51.664793  -32.400000 52.646421  -32.400000 53.558298  -32.400000 53.466461 
-32.300000 51.492792  -32.300000 55.683227  -32.300000 54.818462  -32.300000 53.927555 
-32.200000 52.043285  -32.200000 53.394694  -32.200000 55.693795  -32.200000 53.874347 
-32.100000 51.374376  -32.100000 55.416470  -32.100000 53.295083  -32.100000 54.180142 
-32.000000 51.407998  -32.000000 52.131990  -32.000000 53.493281  -32.000000 54.134801 
-31.900000 51.856181  -31.900000 53.369265  -31.900000 53.521682  -31.900000 53.984118 
-31.800000 52.409263  -31.800000 54.578647  -31.800000 55.918754  -31.800000 54.463773 
-31.700000 51.863220  -31.700000 55.045457  -31.700000 55.161906  -31.700000 54.268636 
-31.600000 52.396114  -31.600000 54.782448  -31.600000 54.336676  -31.600000 54.219242 
-31.500000 52.345792  -31.500000 54.878718  -31.500000 55.249197  -31.500000 54.248217 
-31.400000 52.985024  -31.400000 54.107778  -31.400000 53.348583  -31.400000 54.329512 
-31.300000 52.185334  -31.300000 53.302219  -31.300000 55.909695  -31.300000 54.232862 
-31.200000 52.912067  -31.200000 56.855083  -31.200000 56.261189  -31.200000 54.626624 
-31.100000 52.708963  -31.100000 55.119822  -31.100000 55.466378  -31.100000 54.774574 
-31.000000 53.068398  -31.000000 57.354038  -31.000000 56.623075  -31.000000 55.079681 
-30.900000 52.976284  -30.900000 55.153120  -30.900000 56.056603  -30.900000 54.872063 
-30.800000 52.606613  -30.800000 56.882336  -30.800000 54.353338  -30.800000 54.886239 
-30.700000 52.371274  -30.700000 53.114373  -30.700000 54.684990  -30.700000 54.890541 
-30.600000 51.750557  -30.600000 53.811818  -30.600000 55.166747  -30.600000 55.051670 
-30.500000 52.128344  -30.500000 54.596109  -30.500000 57.121048  -30.500000 55.151788 
-30.400000 52.273054  -30.400000 54.703353  -30.400000 53.974708  -30.400000 55.780931 
-30.300000 52.114867  -30.300000 54.183729  -30.300000 55.293386  -30.300000 55.454797 
-30.200000 49.954083  -30.200000 58.250401  -30.200000 56.081630  -30.200000 55.505542 
-30.100000 49.842949  -30.100000 56.879157  -30.100000 54.178327  -30.100000 55.689510 
-30.000000 50.084615  -30.000000 55.233682  -30.000000 56.770807  -30.000000 55.748903 
-29.900000 50.411570  -29.900000 57.774816  -29.900000 56.359974  -29.900000 55.870837 
-29.800000 50.347675  -29.800000 55.147785  -29.800000 55.235981  -29.800000 55.954756 
-29.700000 50.293897  -29.700000 56.757217  -29.700000 56.619639  -29.700000 55.753776 
-29.600000 50.675769  -29.600000 57.912680  -29.600000 57.449195  -29.600000 56.390486 
-29.500000 50.514235  -29.500000 58.451414  -29.500000 57.984385  -29.500000 56.246623 
-29.400000 50.916223  -29.400000 58.837650  -29.400000 57.713161  -29.400000 56.363608 
-29.300000 50.902480  -29.300000 58.319707  -29.300000 57.203161  -29.300000 56.498897 
-29.200000 50.668033  -29.200000 57.389505  -29.200000 56.004965  -29.200000 56.272908 
-29.100000 50.866989  -29.100000 55.970142  -29.100000 57.337105  -29.100000 56.515164 
-29.000000 51.418598  -29.000000 59.024357  -29.000000 55.408089  -29.000000 56.519373 
-28.900000 51.061148  -28.900000 56.710623  -28.900000 55.689806  -28.900000 56.943454 
-28.800000 51.349743  -28.800000 58.451713  -28.800000 57.140364  -28.800000 56.833758 
-28.700000 50.926804  -28.700000 54.934328  -28.700000 56.344606  -28.700000 56.764403 
-28.600000 51.360662  -28.600000 55.695238  -28.600000 55.340480  -28.600000 56.835581 
-28.500000 51.428611  -28.500000 56.084933  -28.500000 58.073610  -28.500000 56.959141 
-28.400000 51.694563  -28.400000 55.458362  -28.400000 55.683303  -28.400000 57.304658 
-28.300000 51.644291  -28.300000 59.800456  -28.300000 57.523844  -28.300000 57.506757 
-28.200000 51.891374  -28.200000 58.518357  -28.200000 58.661744  -28.200000 57.078825 
-28.100000 51.884039  -28.100000 55.981786  -28.100000 57.261031  -28.100000 57.803328 
-28.000000 52.106516  -28.000000 58.404302  -28.000000 57.955073  -28.000000 57.692019 
-27.900000 52.187515  -27.900000 59.918199  -27.900000 57.216532  -27.900000 57.971825 
-27.800000 52.223068  -27.800000 56.262214  -27.800000 59.115742  -27.800000 58.107295 
-27.700000 52.210483  -27.700000 56.835023  -27.700000 60.273162  -27.700000 57.819846 
-27.600000 52.059266  -27.600000 56.037614  -27.600000 56.251207  -27.600000 58.183328 
-27.500000 52.322976  -27.500000 60.489341  -27.500000 56.195514  -27.500000 58.126980 
-27.400000 52.557621  -27.400000 59.206562  -27.400000 60.515533  -27.400000 58.544156 
-27.300000 52.400086  -27.300000 57.193398  -27.300000 59.536806  -27.300000 58.276637 
-27.200000 52.806866  -27.200000 58.815623  -27.200000 57.220102  -27.200000 58.312725 
-27.100000 53.049714  -27.100000 60.929971  -27.100000 58.404099  -27.100000 58.424474 
-27.000000 52.821933  -27.000000 56.316330  -27.000000 57.790483  -27.000000 58.725655 
-26.900000 52.939489  -26.900000 56.711542  -26.900000 59.100556  -26.900000 58.856983 
-26.800000 53.290803  -26.800000 60.442246  -26.800000 57.298704  -26.800000 58.151478 
-26.700000 53.401295  -26.700000 59.429578  -26.700000 59.004631  -26.700000 58.701411 
-26.600000 53.304710  -26.600000 57.125368  -26.600000 57.605055  -26.600000 58.967082 
-26.500000 53.343536  -26.500000 60.536652  -26.500000 58.858787  -26.500000 57.728798 
-26.400000 53.638038  -26.400000 56.496047  -26.400000 57.144316  -26.400000 58.982219 
-26.300000 53.832356  -26.300000 57.571840  -26.300000 59.328464  -26.300000 57.880649 
-26.200000 53.922574  -26.200000 57.436101  -26.200000 59.348346  -26.200000 58.908874 
-26.100000 53.809346  -26.100000 56.965263  -26.100000 59.601787  -26.100000 58.630972 
-26.000000 53.816149  -26.000000 59.240849  -26.000000 58.110084  -26.000000 58.158626 
-25.900000 53.826611  -25.900000 58.210801  -25.900000 60.106789  -25.900000 58.623277 
-25.800000 54.164459  -25.800000 59.962675  -25.800000 59.210829  -25.800000 59.353238 
-25.700000 54.026959  -25.700000 59.930413  -25.700000 57.719779  -25.700000 58.543714 
-25.600000 54.344210  -25.600000 57.218823  -25.600000 58.884288  -25.600000 58.213982 
-25.500000 54.735609  -25.500000 61.148630  -25.500000 59.539164  -25.500000 58.395026 
-25.400000 54.729648  -25.400000 59.634430  -25.400000 59.267929  -25.400000 58.737925 
-25.300000 54.551612  -25.300000 58.171130  -25.300000 57.540725  -25.300000 58.914440 
-25.200000 54.668452  -25.200000 60.092174  -25.200000 59.711051  -25.200000 58.614291 
-25.100000 55.194525  -25.100000 60.839486  -25.100000 60.556409  -25.100000 58.785646 
-25.000000 55.048286  -25.000000 57.535282  -25.000000 59.549551  -25.000000 59.160819 
-24.900000 55.064772  -24.900000 61.055503  -24.900000 59.924570  -24.900000 59.364751 
-24.800000 54.695607  -24.800000 60.221857  -24.800000 58.960892  -24.800000 58.873912 
-24.700000 54.661133  -24.700000 58.470636  -24.700000 59.610725  -24.700000 59.075672 
-24.600000 53.216376  -24.600000 60.181164  -24.600000 60.239454  -24.600000 59.354449 
-24.500000 53.339238  -24.500000 60.943593  -24.500000 59.470181  -24.500000 59.195491 
-24.400000 53.138459  -24.400000 61.451996  -24.400000 60.677625  -24.400000 59.451632 
-24.300000 53.390791  -24.300000 60.748474  -24.300000 58.897036  -24.300000 59.516132 
-24.200000 51.102965  -24.200000 59.127663  -24.200000 58.718387  -24.200000 59.647638 
-24.100000 39.795862  -24.100000 61.098420  -24.100000 59.172204  -24.100000 59.755658 
-24.000000 34.769673  -24.000000 58.453326  -24.000000 59.717429  -24.000000 59.940312 
-23.900000 31.618321  -23.900000 58.646083  -23.900000 61.129780  -23.900000 60.193644 
-23.800000 29.331646  -23.800000 58.241530  -23.800000 61.638712  -23.800000 60.150703 
-23.700000 27.540074  -23.700000 61.396958  -23.700000 60.509902  -23.700000 60.036860 
-23.600000 26.070249  -23.600000 59.328605  -23.600000 59.669601  -23.600000 60.090837 
-23.500000 24.826864  -23.500000 60.321383  -23.500000 60.347097  -23.500000 60.264163 
-23.400000 23.750679  -23.400000 60.699741  -23.400000 60.197435  -23.400000 60.021614 
-23.300000 22.803678  -23.300000 60.199984  -23.300000 59.201448  -23.300000 60.301608 
-23.200000 21.958978  -23.200000 58.983196  -23.200000 59.941304  -23.200000 60.478111 
