-40.000000 41.361459  -40.000000 42.027751  -40.000000 41.963084  -40.000000 42.386174 
-39.900000 41.864940  -39.900000 42.155202  -39.900000 42.123326  -39.900000 42.439889 
-39.800000 41.798286  -39.800000 42.506786  -39.800000 42.268465  -39.800000 42.576728 
-39.700000 42.233904  -39.700000 42.408692  -39.700000 42.500368  -39.700000 42.835733 
-39.600000 42.015947  -39.600000 42.399617  -39.600000 42.529306  -39.600000 42.749967 
-39.500000 42.491757  -39.500000 42.739079  -39.500000 42.663966  -39.500000 43.045403 
-39.400000 42.340930  -39.400000 42.597472  -39.400000 42.605962  -39.400000 43.180220 
-39.300000 42.353929  -39.300000 42.878714  -39.300000 42.919982  -39.300000 43.617563 
-39.200000 43.180179  -39.200000 43.447370  -39.200000 43.171046  -39.200000 43.795406 
-39.100000 42.199009  -39.100000 42.502626  -39.100000 42.589639  -39.100000 43.185805 
-39.000000 42.319569  -39.000000 42.851702  -39.000000 42.874274  -39.000000 43.394918 
-38.900000 42.511893  -38.900000 43.219491  -38.900000 43.072364  -38.900000 43.555460 
-38.800000 43.199429  -38.800000 43.252046  -38.800000 43.249515  -38.800000 43.888230 
-38.700000 42.970907  -38.700000 43.594148  -38.700000 43.315405  -38.700000 43.962215 
-38.600000 43.536447  -38.600000 43.806074  -38.600000 43.556716  -38.600000 43.939668 
-38.500000 42.456925  -38.500000 43.556012  -38.500000 43.626248  -38.500000 43.854231 
-38.400000 43.526375  -38.400000 43.897930  -38.400000 43.768749  -38.400000 43.969558 
-38.300000 43.286076  -38.300000 43.636655  -38.300000 43.564887  -38.300000 43.997457 
-38.200000 43.953244  -38.200000 44.185703  -38.200000 44.130567  -38.200000 44.622576 
-38.100000 43.615049  -38.100000 43.851142  -38.100000 44.000908  -38.100000 44.568641 
-38.000000 43.921017  -38.000000 43.974178  -38.000000 43.988336  -38.000000 44.464208 
-37.900000 44.166764  -37.900000 44.682760  -37.900000 44.407263  -37.900000 44.875783 
-37.800000 43.872782  -37.800000 44.166294  -37.800000 43.822964  -37.800000 44.412709 
-37.700000 44.000533  -37.700000 44.585230  -37.700000 44.147024  -37.700000 44.716256 
-37.600000 44.250409  -37.600000 44.208787  -37.600000 44.347555  -37.600000 44.799665 
-37.500000 43.446930  -37.500000 43.988774  -37.500000 43.996044  -37.500000 44.428737 
-37.400000 44.591717  -37.400000 44.802322  -37.400000 44.627201  -37.400000 45.020454 
-37.300000 44.802592  -37.300000 44.894217  -37.300000 44.702659  -37.300000 45.074573 
-37.200000 44.932659  -37.200000 44.812323  -37.200000 44.659011  -37.200000 45.074978 
-37.100000 45.278897  -37.100000 44.960087  -37.100000 44.795149  -37.100000 45.272656 
-37.000000 44.446395  -37.000000 45.115787  -37.000000 45.099831  -37.000000 45.607311 
-36.900000 44.841077  -36.900000 45.208384  -36.900000 45.043918  -36.900000 45.717416 
-36.800000 44.468510  -36.800000 44.818286  -36.800000 44.763453  -36.800000 45.367528 
-36.700000 44.980745  -36.700000 45.686204  -36.700000 45.548731  -36.700000 46.064791 
-36.600000 45.179567  -36.600000 45.241090  -36.600000 45.451590  -36.600000 45.878102 
-36.500000 44.889887  -36.500000 45.591165  -36.500000 45.466171  -36.500000 45.895537 
-36.400000 45.036407  -36.400000 45.866974  -36.400000 45.567660  -36.400000 46.026781 
-36.300000 44.892307  -36.300000 45.728928  -36.300000 45.700863  -36.300000 45.906116 
-36.200000 45.394776  -36.200000 45.462354  -36.200000 45.660558  -36.200000 45.979535 
-36.100000 46.160700  -36.100000 46.446046  -36.100000 46.007512  -36.100000 46.608224 
-36.000000 45.834940  -36.000000 46.187080  -36.000000 45.855808  -36.000000 46.519350 
-35.900000 46.141441  -35.900000 46.285134  -35.900000 46.128381  -35.900000 46.676566 
-35.800000 46.183742  -35.800000 46.509356  -35.800000 46.352257  -35.800000 47.013399 
-35.700000 46.022049  -35.700000 46.512090  -35.700000 46.274421  -35.700000 46.810730 
-35.600000 46.674794  -35.600000 46.764832  -35.600000 46.578904  -35.600000 47.002476 
-35.500000 45.955459  -35.500000 46.498976  -35.500000 46.570248  -35.500000 46.939432 
-35.400000 45.983937  -35.400000 46.502042  -35.400000 46.515943  -35.400000 46.851150 
-35.300000 46.230048  -35.300000 46.597261  -35.300000 46.759776  -35.300000 47.044685 
-35.200000 46.482452  -35.200000 47.103032  -35.200000 46.761055  -35.200000 47.122324 
-35.100000 46.383864  -35.100000 46.990657  -35.100000 46.947889  -35.100000 47.444580 
-35.000000 46.950443  -35.000000 47.077691  -35.000000 46.951889  -35.000000 47.544348 
-34.900000 47.109324  -34.900000 47.316302  -34.900000 47.101091  -34.900000 47.624411 
-34.800000 47.142708  -34.800000 47.310734  -34.800000 47.448910  -34.800000 47.801046 
-34.700000 47.229303  -34.700000 47.597800  -34.700000 47.417073  -34.700000 47.933935 
-34.600000 47.267914  -34.600000 47.338451  -34.600000 47.287555  -34.600000 47.829096 
-34.500000 47.129751  -34.500000 47.376221  -34.500000 47.562150  -34.500000 47.776509 
-34.400000 47.313380  -34.400000 47.517026  -34.400000 47.419638  -34.400000 47.819735 
-34.300000 47.589578  -34.300000 47.745857  -34.300000 47.747040  -34.300000 48.417329 
-34.200000 47.431206  -34.200000 47.648406  -34.200000 47.695883  -34.200000 48.207470 
-34.100000 47.643220  -34.100000 47.993031  -34.100000 48.001737  -34.100000 48.625354 
-34.000000 47.620090  -34.000000 48.319035  -34.000000 47.960998  -34.000000 48.541583 
-33.900000 47.787979  -33.900000 48.210788  -33.900000 48.178359  -33.900000 48.659362 
-33.800000 48.148956  -33.800000 48.501829  -33.800000 48.250113  -33.800000 48.713471 
-33.700000 48.039042  -33.700000 48.491016  -33.700000 48.389017  -33.700000 48.687435 
-33.600000 48.720287  -33.600000 48.879143  -33.600000 48.697307  -33.600000 49.159663 
-33.500000 48.304127  -33.500000 48.386759  -33.500000 48.503203  -33.500000 49.119713 
-33.400000 48.172961  -33.400000 48.637830  -33.400000 48.553887  -33.400000 49.152781 
-33.300000 48.367630  -33.300000 48.598541  -33.300000 48.695507  -33.300000 49.049478 
-33.200000 48.314438  -33.200000 48.867998  -33.200000 48.873517  -33.200000 49.287667 
-33.100000 47.887119  -33.100000 48.798419  -33.100000 48.693760  -33.100000 48.981579 
-33.000000 48.786110  -33.000000 49.191252  -33.000000 49.152280  -33.000000 49.475941 
-32.900000 49.227293  -32.900000 49.361708  -32.900000 49.195045  -32.900000 49.747404 
-32.800000 48.897698  -32.800000 49.057197  -32.800000 49.056805  -32.800000 49.622958 
-32.700000 48.596862  -32.700000 48.891264  -32.700000 48.969326  -32.700000 49.457395 
-32.600000 48.986126  -32.600000 49.572961  -32.600000 49.213335  -32.600000 49.642249 
-32.500000 48.971747  -32.500000 49.668330  -32.500000 49.627740  -32.500000 49.930294 
-32.400000 49.662812  -32.400000 49.673106  -32.400000 49.672879  -32.400000 50.024030 
