-40.000000 40.650643  -40.000000 41.203155  -40.000000 41.113189  -40.000000 41.202702 
-39.900000 41.478228  -39.900000 41.234376  -39.900000 41.802560  -39.900000 41.662930 
-39.800000 42.946389  -39.800000 42.531054  -39.800000 42.805029  -39.800000 42.877620 
-39.700000 41.512144  -39.700000 42.125928  -39.700000 41.986667  -39.700000 41.867062 
-39.600000 42.873171  -39.600000 42.498750  -39.600000 42.018832  -39.600000 42.248632 
-39.500000 42.539643  -39.500000 42.753605  -39.500000 42.300782  -39.500000 42.385382 
-39.400000 43.326331  -39.400000 42.988087  -39.400000 43.120124  -39.400000 43.379957 
-39.300000 41.968110  -39.300000 41.887299  -39.300000 42.009167  -39.300000 41.995225 
-39.200000 42.553260  -39.200000 42.085185  -39.200000 42.107780  -39.200000 41.927985 
-39.100000 42.244066  -39.100000 42.044619  -39.100000 41.696069  -39.100000 41.856518 
-39.000000 41.960819  -39.000000 42.391650  -39.000000 42.511807  -39.000000 42.625584 
-38.900000 41.541085  -38.900000 42.217571  -38.900000 42.383493  -38.900000 42.325981 
-38.800000 41.467203  -38.800000 41.924157  -38.800000 41.976028  -38.800000 41.823613 
-38.700000 44.329000  -38.700000 43.925843  -38.700000 43.904968  -38.700000 43.894625 
-38.600000 43.327698  -38.600000 43.468478  -38.600000 43.310772  -38.600000 43.301720 
-38.500000 43.347774  -38.500000 43.767044  -38.500000 43.474218  -38.500000 43.712206 
-38.400000 44.381501  -38.400000 42.929566  -38.400000 42.995311  -38.400000 42.986281 
-38.300000 45.230532  -38.300000 44.492218  -38.300000 44.461245  -38.300000 44.462026 
-38.200000 43.605937  -38.200000 43.979737  -38.200000 43.597512  -38.200000 43.788650 
-38.100000 41.823201  -38.100000 42.787066  -38.100000 42.725047  -38.100000 42.755993 
-38.000000 43.877151  -38.000000 43.708640  -38.000000 43.899065  -38.000000 44.194568 
-37.900000 43.795721  -37.900000 43.051660  -37.900000 42.895330  -37.900000 42.993355 
-37.800000 44.712006  -37.800000 44.055036  -37.800000 44.094765  -37.800000 44.126845 
-37.700000 45.393435  -37.700000 44.942212  -37.700000 44.754075  -37.700000 44.989188 
-37.600000 44.438402  -37.600000 43.700813  -37.600000 43.626101  -37.600000 43.653563 
-37.500000 45.120113  -37.500000 44.636548  -37.500000 44.603740  -37.500000 44.482908 
-37.400000 44.608872  -37.400000 44.203122  -37.400000 44.191579  -37.400000 44.436185 
-37.300000 44.994532  -37.300000 44.794612  -37.300000 44.805040  -37.300000 45.009637 
-37.200000 46.212825  -37.200000 45.469093  -37.200000 45.310429  -37.200000 45.591522 
-37.100000 44.949310  -37.100000 45.114747  -37.100000 44.913846  -37.100000 45.070332 
-37.000000 46.037079  -37.000000 45.311111  -37.000000 45.591486  -37.000000 45.618857 
-36.900000 45.369397  -36.900000 45.357038  -36.900000 45.687877  -36.900000 45.766184 
-36.800000 45.124457  -36.800000 44.833688  -36.800000 45.011046  -36.800000 44.961315 
-36.700000 45.285389  -36.700000 44.653624  -36.700000 45.087692  -36.700000 45.122360 
-36.600000 44.765529  -36.600000 44.923446  -36.600000 45.071824  -36.600000 44.967567 
-36.500000 47.185341  -36.500000 45.770169  -36.500000 46.096665  -36.500000 46.150069 
-36.400000 44.671848  -36.400000 44.988882  -36.400000 45.255875  -36.400000 45.183691 
-36.300000 44.720513  -36.300000 44.657402  -36.300000 44.593685  -36.300000 44.720874 
-36.200000 46.206010  -36.200000 45.308823  -36.200000 45.687279  -36.200000 45.712624 
-36.100000 46.674041  -36.100000 46.435575  -36.100000 46.545386  -36.100000 46.490056 
-36.000000 45.897282  -36.000000 45.771167  -36.000000 45.612766  -36.000000 45.821372 
-35.900000 47.080083  -35.900000 46.312704  -35.900000 46.114792  -35.900000 46.416058 
-35.800000 47.698032  -35.800000 46.640562  -35.800000 46.779595  -35.800000 46.821592 
-35.700000 45.208548  -35.700000 44.540728  -35.700000 44.769171  -35.700000 44.831934 
-35.600000 45.274799  -35.600000 45.241303  -35.600000 45.246463  -35.600000 45.341802 
-35.500000 45.681848  -35.500000 44.977842  -35.500000 45.378031  -35.500000 45.331570 
-35.400000 46.017856  -35.400000 45.095335  -35.400000 45.319247  -35.400000 45.269930 
-35.300000 47.632103  -35.300000 47.575033  -35.300000 47.459533  -35.300000 47.467757 
-35.200000 47.463479  -35.200000 47.074373  -35.200000 47.135713  -35.200000 47.320433 
-35.100000 47.516881  -35.100000 46.948060  -35.100000 47.138038  -35.100000 46.962640 
-35.000000 46.095864  -35.000000 46.408733  -35.000000 46.703125  -35.000000 46.501908 
-34.900000 47.640285  -34.900000 47.111984  -34.900000 47.383423  -34.900000 47.462697 
-34.800000 45.908489  -34.800000 46.963469  -34.800000 46.565343  -34.800000 46.690818 
-34.700000 47.071526  -34.700000 47.160760  -34.700000 47.096249  -34.700000 47.205609 
-34.600000 45.790226  -34.600000 46.530722  -34.600000 46.181823  -34.600000 46.284547 
-34.500000 47.935946  -34.500000 47.767046  -34.500000 47.391529  -34.500000 47.439472 
-34.400000 46.963434  -34.400000 47.791082  -34.400000 47.948100  -34.400000 47.695302 
-34.300000 48.184782  -34.300000 47.834463  -34.300000 47.490030  -34.300000 47.733963 
-34.200000 48.650456  -34.200000 48.215698  -34.200000 48.547938  -34.200000 48.556537 
-34.100000 48.547988  -34.100000 48.174518  -34.100000 48.323087  -34.100000 48.327783 
-34.000000 47.595217  -34.000000 47.450364  -34.000000 47.773280  -34.000000 47.957470 
-33.900000 47.170326  -33.900000 48.129648  -33.900000 48.133150  -33.900000 48.293058 
-33.800000 48.025859  -33.800000 47.391259  -33.800000 47.758073  -33.800000 47.698145 
-33.700000 49.321165  -33.700000 49.035144  -33.700000 48.984329  -33.700000 49.020563 
-33.600000 49.011306  -33.600000 48.502596  -33.600000 48.290013  -33.600000 48.307067 
-33.500000 46.809276  -33.500000 46.706613  -33.500000 47.053470  -33.500000 46.993104 
-33.400000 49.281006  -33.400000 48.177347  -33.400000 48.036117  -33.400000 48.159668 
-33.300000 48.820481  -33.300000 49.060525  -33.300000 48.879033  -33.300000 49.050882 
-33.200000 48.899671  -33.200000 48.990145  -33.200000 48.834595  -33.200000 48.906742 
-33.100000 47.801416  -33.100000 48.431939  -33.100000 48.207580  -33.100000 48.052733 
-33.000000 47.016519  -33.000000 47.560835  -33.000000 47.809577  -33.000000 47.705315 
-32.900000 48.072140  -32.900000 48.280600  -32.900000 47.873813  -32.900000 48.074554 
-32.800000 49.682960  -32.800000 49.467505  -32.800000 49.586897  -32.800000 49.633748 
-32.700000 49.726443  -32.700000 49.670081  -32.700000 49.508013  -32.700000 49.526717 
-32.600000 48.278881  -32.600000 48.223375  -32.600000 48.296161  -32.600000 48.487812 
-32.500000 48.983820  -32.500000 49.307211  -32.500000 49.443038  -32.500000 49.512137 
-32.400000 48.591311  -32.400000 49.023647  -32.400000 48.854436  -32.400000 49.078886 
-32.300000 50.199789  -32.300000 49.711581  -32.300000 49.915027  -32.300000 49.766578 
-32.200000 50.367564  -32.200000 49.963207  -32.200000 50.371516  -32.200000 50.273151 
-32.100000 49.282778  -32.100000 49.452156  -32.100000 49.076531  -32.100000 49.217684 
-32.000000 49.206829  -32.000000 49.378902  -32.000000 49.317189  -32.000000 49.419863 
-31.900000 49.920676  -31.900000 49.397756  -31.900000 49.373919  -31.900000 49.473296 
-31.800000 51.235793  -31.800000 50.826250  -31.800000 50.468982  -31.800000 50.791279 
-31.700000 50.813273  -31.700000 50.147158  -31.700000 50.538958  -31.700000 50.563664 
-31.600000 50.361729  -31.600000 49.567599  -31.600000 49.964743  -31.600000 50.014510 
-31.500000 50.416616  -31.500000 50.172934  -31.500000 50.661801  -31.500000 50.618002 
-31.400000 49.904754  -31.400000 49.694511  -31.400000 49.646800  -31.400000 49.777159 
-31.300000 51.554853  -31.300000 50.871855  -31.300000 51.105739  -31.300000 51.015883 
-31.200000 51.101432  -31.200000 50.793955  -31.200000 51.094614  -31.200000 51.229842 
-31.100000 51.283519  -31.100000 51.023430  -31.100000 50.856830  -31.100000 51.082116 
-31.000000 50.482744  -31.000000 51.526860  -31.000000 51.609871  -31.000000 51.641714 
-30.900000 51.777981  -30.900000 51.189021  -30.900000 51.410936  -30.900000 51.232031 
-30.800000 50.843363  -30.800000 50.570543  -30.800000 50.572165  -30.800000 50.575719 
-30.700000 49.961846  -30.700000 50.571964  -30.700000 50.515936  -30.700000 50.533072 
-30.600000 52.248001  -30.600000 51.067201  -30.600000 51.040975  -30.600000 51.007207 
-30.500000 52.528711  -30.500000 51.998096  -30.500000 51.760611  -30.500000 52.015213 
-30.400000 51.058831  -30.400000 50.388277  -30.400000 50.610746  -30.400000 50.560342 
-30.300000 51.131185  -30.300000 51.385317  -30.300000 50.994510  -30.300000 51.263136 
-30.200000 51.917443  -30.200000 51.858525  -30.200000 51.485385  -30.200000 51.522173 
-30.100000 51.278329  -30.100000 50.527573  -30.100000 50.767894  -30.100000 50.886649 
-30.000000 51.910862  -30.000000 52.036855  -30.000000 52.252981  -30.000000 52.201018 
